Location,Year,Turtles
Townsville,2001,3
Townsville,2002,2
Townsville,2003,5
Townsville,2004,1
Townsville,2005,1
Townsville,2006,2
Townsville,2007,1
Townsville,2008,
Townsville,2009,1
Townsville,2010,3
Townsville,2011,1
Townsville,2012,
Townsville,2013,
Townsville,2014,1
Townsville,2015,2
Townsville,2016,1
Townsville,2017,1
Townsville,2018,
Townsville,2019,2
Townsville,2020,
Townsville,2021,3
Townsville,2022,
Townsville,2023,
Townsville,2024,
Nth Stradbroke Is.,2001,6
Nth Stradbroke Is.,2002,6
Nth Stradbroke Is.,2003,14
Nth Stradbroke Is.,2004,8
Nth Stradbroke Is.,2005,9
Nth Stradbroke Is.,2006,6
Nth Stradbroke Is.,2007,5
Nth Stradbroke Is.,2008,8
Nth Stradbroke Is.,2009,1
Nth Stradbroke Is.,2010,
Nth Stradbroke Is.,2011,
Nth Stradbroke Is.,2012,1
Nth Stradbroke Is.,2013,1
Nth Stradbroke Is.,2014,
Nth Stradbroke Is.,2015,2
Nth Stradbroke Is.,2016,2
Nth Stradbroke Is.,2017,3
Nth Stradbroke Is.,2018,
Nth Stradbroke Is.,2019,
Nth Stradbroke Is.,2020,3
Nth Stradbroke Is.,2021,12
Nth Stradbroke Is.,2022,8
Nth Stradbroke Is.,2023,3
Nth Stradbroke Is.,2024,
Gold Coast,2001,27
Gold Coast,2002,22
Gold Coast,2003,8
Gold Coast,2004,4
Gold Coast,2005,8
Gold Coast,2006,8
Gold Coast,2007,6
Gold Coast,2008,4
Gold Coast,2009,5
Gold Coast,2010,9
Gold Coast,2011,10
Gold Coast,2012,8
Gold Coast,2013,9
Gold Coast,2014,9
Gold Coast,2015,5
Gold Coast,2016,10
Gold Coast,2017,10
Gold Coast,2018,13
Gold Coast,2019,6
Gold Coast,2020,10
Gold Coast,2021,4
Gold Coast,2022,18
Gold Coast,2023,5
Gold Coast,2024,2
