Location,Date,no. whales passing 
Norm's_Seat,24/6/2010,31.381352920270103
Frenchman's,24/6/2010,35.80736879516644
Norm's_Seat,25/6/2010,60.98803459305769
Frenchman's,25/6/2010,60.385025470915764
Norm's_Seat,26/6/2010,56.820281957114084
Frenchman's,26/6/2010,50.11846937566639
Norm's_Seat,27/6/2010,75.04798009714489
Frenchman's,27/6/2010,87.80831655017178
Norm's_Seat,28/6/2010,76.05970856533585
Frenchman's,28/6/2010,73.70453737708803
Norm's_Seat,29/6/2010,105.06693519725151
Frenchman's,29/6/2010,96.03246060893258
Norm's_Seat,30/6/2010,0
Frenchman's,30/6/2010,0
Norm's_Seat,1/7/2010,87.10223907
Frenchman's,1/7/2010,83.04821703589622
Norm's_Seat,2/7/2010,79.11147968250208
Frenchman's,2/7/2010,86.97547683923705
Norm's_Seat,3/7/2010,83.09678947991944
Frenchman's,3/7/2010,88.91245113138254
Norm's_Seat,4/7/2010,52.072029380405155
Frenchman's,4/7/2010,46.99917071437034
Norm's_Seat,5/7/2010,0
Frenchman's,5/7/2010,0
Norm's_Seat,6/7/2010,111.19654069423053
Frenchman's,6/7/2010,101.23918966947045
Norm's_Seat,7/7/2010,95.30861272361095
Frenchman's,7/7/2010,83.99123326620068
Norm's_Seat,8/7/2010,41.620661059116216
Frenchman's,8/7/2010,49.05935315720886
